Method,N,F1,Judge_ACC,Multi-hop,Temporal,Open-domain,Single-hop
Full-context reference,1540,55.1689,71.363636,71.276596,43.925234,25.0,87.158145
Mem0,1540,36.498359,54.480519,61.347518,27.725857,40.625,63.971463
A-MEM,1540,36.8459,51.883117,48.22695,38.94081,34.375,60.047562
LangMem,1540,29.932364,41.818182,47.51773,26.791277,39.583333,45.897741
SimpleMem,1540,38.189102,54.675325,48.93617,43.302181,39.583333,62.663496
LightMem,1540,40.326188,65.454545,63.120567,60.436137,38.541667,71.224732
HiGMem,1540,40.333102,55.844156,47.51773,38.006231,31.25,68.252081
E-Mem,1540,56.956713,77.142857,72.340426,67.912773,50.0,85.374554
Our method,1540,55.527814,72.727273,60.283688,65.732087,27.083333,84.780024
