label,f1,delta_pp,stored_tokens,read_tokens
Our method,55.79751360381211,0.0,61911.5,2013.79
w/o cues (base memory),55.42631266535524,-0.37120093845686597,59960.6,2013.9033333333334
w/o omission audit,54.78885102211013,-1.0086625817019765,60369.8,2015.4366666666667
w/o temporal normalization,52.20095987937449,-3.5965537244376193,64294.5,2010.3933333333334
w/o evidence binding,58.042440379994,2.2449267761818916,60116.4,2038.85
Random cue selection,55.16465154961552,-0.6328620541965861,61880.2,2014.15
Payload retrieval keys,55.63628569846085,-0.16122790535125375,61798,2013.9933333333333
