method,model,embedding,dataset,questions,official_f1_100,evaluation_native_llm_tokens_M,evaluation_native_embedding_tokens_M,amortized_native_inference_seconds_per_question,mean_question_e2e_seconds,logical_reader_tokens_M,cache_scope,answers_path,answers_sha256
seed,Qwen/Qwen3.5-9B,sentence-transformers/all-MiniLM-L6-v2,LoCoMo,1540,56.25973274365339,3.322139,0.694012,0.41379327631144264,NA,3.322139,measured native calls under observed cache/order,D:\MemoryData\experiments\refinement_usage_20260909\evidence\runs\qwen35_baseline\seed.jsonl,bc632385a7932c10df67d7b6f704a648fa1b67ce85a5f147edcef64f4fdd35e0
r40_fused_four_turn,Qwen/Qwen3.5-9B,sentence-transformers/all-MiniLM-L6-v2,LoCoMo,1540,55.52237081573067,3.280912,0.533303,0.38598140767932715,NA,3.280912,measured native calls under observed cache/order,D:\MemoryData\experiments\refinement_usage_20260909\evidence\runs\qwen35_baseline\r40_fused_four_turn.jsonl,57e68680ad15fdf6f34ab4aec925c1e46037d0f08923e5e1e6c4c42fd8939f49
s_parent_single_2000,Qwen/Qwen3.5-9B,sentence-transformers/all-MiniLM-L6-v2,LoCoMo,1540,55.52781350227676,2.530292,0.534668,0.3032254652359051,NA,3.283525,measured native calls under observed cache/order,D:\MemoryData\experiments\refinement_usage_20260909\evidence\runs\qwen35_baseline\s_parent_single_2000.jsonl,a957f3d6860568f6e20303905b41344ab3730757b18ec652b6b726933701258b
recursive_source_rehearsal_v1,Qwen/Qwen3.5-9B,sentence-transformers/all-MiniLM-L6-v2,LoCoMo,1540,55.85601543689559,3.29323,0.021403,0.36253908304164983,NA,3.297516,measured native calls under observed cache/order,D:\MemoryData\experiments\refinement_usage_20260909\evidence\runs\recursive_v1\recursive_source_rehearsal_v1.jsonl,cf61757b9785fd34a893d7be95818aba6d686a82f66508ec9e61ec0d5e721756
