"model","population","n","seed","r40","refined","refined_minus_r40_ci","source"
"Qwen/Qwen3.5-9B","generated_population","507","54.834016051117615","56.07044034068417","56.578668693562385","[-0.05547996901503572,1.1335851209268928]","generalization_20260908/modern/verified_qwen35/predeclared_locomo_results.json"
"Qwen/Qwen3.5-9B","primary_question_population","377","54.0946545980792","55.68706329706609","56.305168401247165","[-0.09081437496584767,1.6644707949055775]","generalization_20260908/modern/verified_qwen35/predeclared_locomo_results.json"
"Qwen/Qwen3.5-9B","secondary_question_population","100","54.31462241462241","52.97881386644544","53.28777537277537","[-0.372960372960373,1.0278220804536595]","generalization_20260908/modern/verified_qwen35/predeclared_locomo_results.json"
"google/gemma-4-E4B-it","generated_population","507","47.182449339088365","51.790693825470434","51.67230651263146","[-2.1448412698412698,0.7360575902454093]","generalization_20260908/modern/verified_gemma4/predeclared_locomo_results.json"
"google/gemma-4-E4B-it","primary_question_population","377","46.221786784881616","50.558208737365185","50.741006141417266","[-2.1968179795282596,1.4988801700074208]","generalization_20260908/modern/verified_gemma4/predeclared_locomo_results.json"
"google/gemma-4-E4B-it","secondary_question_population","100","49.190896741894925","52.33793314603658","50.864700822804274","[-2.626262626262626,0]","generalization_20260908/modern/verified_gemma4/predeclared_locomo_results.json"
